UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/19T01:05:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.05,0.00,26264,0,340,0.00,0.00,0.43,0.00,0.00,0.43,0,0,194.25,43.55,3.39,0.48,0.43,0.25,0.00,0.05,0.17,0.00,0.05,0.17,0,0,112.45,32.22,4.38,0.26,0.26,0.00,75.44
2023/10/19T01:07:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,676.05,0.00,26264,0,460,0.30,0.60,0.91,0.30,0.60,0.91,2,2,268.58,64.75,4.14,1.00,0.49,0.00,0.00,0.10,0.58,0.00,0.10,0.58,0,0,156.80,44.47,3.43,1.02,0.62,0.23,77.08
2023/10/19T01:09:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,676.11,0.00,26264,0,580,0.44,0.75,1.08,0.44,0.75,1.08,3,3,275.85,68.12,6.85,1.61,0.49,0.24,0.12,0.33,0.33,0.12,0.33,0.33,1,1,160.16,48.12,5.49,0.18,0.00,0.00,77.73
2023/10/19T01:11:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,676.11,0.00,26264,0,700,0.10,0.50,0.74,0.10,0.50,0.74,2,2,239.38,60.38,4.91,0.47,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,121.02,35.45,3.23,0.21,0.00,0.00,76.42
2023/10/19T01:13:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.14,0.00,26264,0,820,0.26,0.45,0.69,0.26,0.45,0.69,2,2,310.91,66.67,4.40,0.41,0.24,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0,0,81.97,24.29,2.71,0.37,0.00,0.00,73.80
2023/10/19T01:15:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.17,0.00,26264,0,940,0.11,0.26,0.40,0.11,0.26,0.40,1,1,250.37,57.09,4.56,0.23,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.24,0,0,123.47,33.02,5.05,0.57,0.24,0.24,74.01
2023/10/19T01:17:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.20,0.00,26264,0,1060,0.00,0.00,0.21,0.00,0.00,0.21,0,0,187.91,49.79,3.45,0.29,0.21,0.21,0.00,0.00,0.21,0.00,0.00,0.21,0,0,108.36,30.34,2.48,0.29,0.21,0.00,73.41
2023/10/19T01:19:11z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.19,0.00,26264,0,1180,0.17,0.64,0.64,0.17,0.64,0.64,3,3,247.14,61.50,5.71,0.83,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0,0,108.48,31.02,2.36,0.11,0.11,0.00,73.29
2023/10/19T01:20:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.23,nan,26352,0,100,0.04,0.15,0.33,0.04,0.15,0.33,1,1,226.17,54.43,3.00,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0,0,100.74,22.93,0.81,0.02,0.02,0.00,nan
2023/10/19T01:22:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,59,44,676.26,0.00,26264,0,220,0.07,0.31,0.31,0.07,0.31,0.31,1,1,236.90,54.76,4.44,0.19,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.16,0,0,107.25,30.43,2.86,0.25,0.25,0.00,76.04
